epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
122,188.968,1.05633,0.95199,0.95938,0.55947,0.74603,0.62968,0.42261,1.08006,1.12807,0.90647,0.000323631,0.000323631,0.000323631
123,190.418,1.03207,0.94137,0.9532,0.56691,0.71329,0.63188,0.40243,1.18226,1.11794,0.92779,0.000312529,0.000312529,0.000312529
124,191.885,1.03846,0.91636,0.95203,0.56146,0.80853,0.64583,0.42873,1.06236,1.06863,0.90302,0.000301427,0.000301427,0.000301427
125,193.368,1.04008,0.92801,0.95244,0.54315,0.74603,0.64347,0.43376,1.06352,1.04904,0.90306,0.000290325,0.000290325,0.000290325
126,194.792,1.04188,0.92576,0.95627,0.59676,0.72619,0.66991,0.44646,1.07468,1.02444,0.90676,0.000279222,0.000279222,0.000279222
127,196.225,1.03835,0.94848,0.97225,0.58743,0.77107,0.68365,0.42597,1.25569,1.05867,0.94813,0.00026812,0.00026812,0.00026812
128,197.665,1.03447,0.90415,0.96319,0.57544,0.7355,0.70519,0.4748,1.08717,1.06633,0.91424,0.000257018,0.000257018,0.000257018
129,199.129,1.02163,0.91649,0.95056,0.5288,0.77802,0.67911,0.4731,0.99237,1.07072,0.89343,0.000245916,0.000245916,0.000245916
130,200.566,1.01622,0.89859,0.94473,0.55958,0.79601,0.66029,0.46644,1.00049,1.04882,0.89413,0.000234814,0.000234814,0.000234814
131,202.026,1.00254,0.88495,0.94078,0.53668,0.75198,0.65077,0.46167,1.00993,1.08904,0.89651,0.000223711,0.000223711,0.000223711
132,203.567,1.02117,0.88815,0.95756,0.56642,0.78288,0.6729,0.46869,1.02573,1.00931,0.90456,0.000212609,0.000212609,0.000212609
133,204.997,1.02619,0.90915,0.95688,0.54622,0.79672,0.68302,0.46295,1.08465,1.03361,0.91863,0.000201507,0.000201507,0.000201507
134,206.504,1.05131,0.91317,0.96066,0.58844,0.77021,0.69961,0.4721,1.0971,1.01757,0.91695,0.000190405,0.000190405,0.000190405
135,207.997,1.0546,0.90255,0.95638,0.55951,0.78154,0.69556,0.46866,1.11674,1.02373,0.91531,0.000179303,0.000179303,0.000179303
136,209.494,1.03514,0.90536,0.95575,0.54611,0.80284,0.68996,0.46413,1.12535,1.0296,0.91915,0.0001682,0.0001682,0.0001682
137,210.978,1.0337,0.91757,0.95635,0.57464,0.72718,0.68361,0.46859,1.04381,1.03825,0.90402,0.000157098,0.000157098,0.000157098
138,212.413,1.04021,0.90785,0.95777,0.56259,0.75496,0.6912,0.47723,1.04997,1.00708,0.90411,0.000145996,0.000145996,0.000145996
139,213.88,1.05693,0.88622,0.96855,0.5958,0.80757,0.70788,0.48701,1.04807,1.02426,0.90572,0.000134894,0.000134894,0.000134894
140,215.338,1.02125,0.89109,0.94861,0.60627,0.75298,0.70932,0.48972,1.06362,0.99906,0.90925,0.000123791,0.000123791,0.000123791
